회사명,종목코드,폐지일자,폐지사유,비고
울트라건설,4320,2015-04-13,자본전액잠식,
영진코퍼레이션,53330,2015-04-23,자본전액잠식,
와이즈파워,40670,2015-07-16,자본전액잠식 등,
플렉스컴,65270,2016-04-12,자본전액잠식,
우전,52270,2017-04-13,자본전액잠식 등,
스탠더드텔레,27890,2003-04-05,감사의견부적정(취소사유발생일:2003년 3월 21일),
모디아,46000,2004-08-11,감사의견부적정(취소사유발생일 : 2004년 3월 27일),
한마음저축은행,25450,2004-10-07,감사의견부적정(취소사유발생일 : 2004년 9월 17일),
한아시스템,36020,2005-04-02,감사의견 부적정(상장폐지사유 발생일 : 2005년 03월 21일),
디보스,80140,2010-02-02,자본잠식률 50%이상사유로 관리종목지정후 반기 감사의견 부적정,
디패션,30420,2011-05-07,감사의견 부적정,
유일엔시스,38720,2013-05-01,감사의견 부적정,
