,MDD
009680,-0.6542955326460481
009810,-0.8332249674902471
010040,-0.8264423076923076
010580,-0.8403137694354952
010600,-0.8595121951219512
010820,-0.8615288220551378
010960,-0.5585526315789474
011090,-0.8265625
011150,-0.4555921052631579
011280,-0.7545977011494253
011390,-0.7027484143763214
011500,-0.4360587002096436
011760,-0.8582329317269076
011810,-0.9060924153545333
012030,-0.6066115702479339
012160,-0.6835051546391753
012200,-0.7086206896551724
012610,-0.6229591836734694
012690,-0.7406181015452539
012800,-0.4690721649484536
013360,-0.6213333333333333
013570,-0.7119700748129676
013580,-0.7311178247734139
013700,-0.5647948164146869
013870,-0.7852173913043479
014160,-0.465
014280,-0.7702863961813843
014530,-0.6474137931034483
014580,-0.7178217821782178
014710,-0.6953727506426736
014790,-0.8086816720257235
015230,-0.6255230125523012
015360,-0.4116331096196868
015540,-0.7625748502994012
015590,-0.6533742331288344
015860,-0.7226277372262774
015890,-0.6329254727474972
016090,-0.7045191193511008
016450,-0.75
016610,-0.5740740740740741
016740,-0.6765050820953871
016880,-0.8091930541368744
017040,-0.7784615384615384
017180,-0.6862565976451482
017550,-0.6977363515312917
017900,-0.6869806094182825
019440,-0.6989517819706499
019680,-0.6445086705202312
020120,-0.5691489361702128
020760,-0.8425090720580611
023000,-0.6341145833333334
023450,-0.1896792189679219
023800,-0.6177062374245473
024890,-0.5787831513260531
024900,-0.3313953488372093
025000,-0.531491002570694
025750,-0.7962049335863378
003720,-0.35135135135135137
003780,-0.39076923076923076
003830,-0.6421052631578947
003920,-0.7298728813559322
003960,-0.7165625
004060,-0.7927631578947368
004080,-0.3464052287581699
004090,-0.6259124087591241
004140,-0.7550628351877051
004150,-0.6933262003477331
004270,-0.7608938547486034
004310,-0.53125
004360,-0.5723270440251572
004380,-0.7279569892473118
004410,-0.7517401392111369
004440,-0.8369304556354916
004540,-0.5416666666666666
004560,-0.4777777777777778
004710,-0.7942650334075724
004720,-0.8358974358974359
004770,-0.7863247863247863
004830,-0.7641693811074919
004840,-0.7497108871633901
004910,-0.7392561983471074
004960,-0.6307692307692307
004970,-0.6151685393258427
004980,-0.7588235294117647
005010,-0.824634655532359
005320,-0.7902244598279841
005430,-0.6477079796264855
005680,-0.6691011235955057
005720,-0.6737704918032786
005740,-0.873067331670823
005750,-0.803448275862069
005800,-0.6597883597883598
005870,-0.738831615120275
005960,-0.6348082595870207
006110,-0.46172248803827753
006220,-0.7458884629652529
006340,-0.8176182707993475
006370,-0.703914590747331
006380,-0.7981220657276995
006490,-0.8719723183391004
006660,-0.5611015490533563
006840,-0.8619102416570771
006880,-0.38766233766233765
006890,-0.4728132387706856
007110,-0.7124518613607189
007160,-0.7829324169530355
007210,-0.8043010752688172
007280,-0.8910891089108911
007540,-0.6363636363636364
007590,-0.48542116630669546
007860,-0.6660980810234541
007980,-0.7614879649890591
008060,-0.5492448080553808
008250,-0.8545023696682464
008260,-0.7542918454935622
008420,-0.7744360902255639
008700,-0.83
008970,-0.8194297782470961
009070,-0.5380952380952381
009180,-0.42
009190,-0.9243523316062177
000180,-0.6978851963746223
000220,-0.6204819277108434
000300,-0.5984555984555985
000320,-0.6677165354330709
000390,-0.5402298850574713
000430,-0.5705128205128205
000500,-0.5233853006681515
000520,-0.811763828835545
000540,-0.8261437908496732
000680,-0.5190217391304348
000700,-0.6027837259100642
000860,-0.7189384800965019
000890,-0.7619047619047619
000910,-0.7614285714285715
000970,-0.670846394984326
001020,-0.9242145655128308
001070,-0.5454545454545454
001080,-0.6451048951048951
001260,-0.8031796502384738
001270,-0.531951640759931
001290,-0.7597297297297297
001340,-0.448489010989011
001360,-0.6957446808510638
001460,-0.6658446362515413
001550,-0.8053333333333333
001570,-0.4860927152317881
001750,-0.3677581863979849
001940,-0.4051172707889126
002030,-0.6052631578947368
002100,-0.728310502283105
002140,-0.8347826086956521
002170,-0.5013440860215054
002200,-0.5352112676056338
002210,-0.8602620087336245
002220,-0.6878612716763006
002360,-0.7198895027624309
002390,-0.623030303030303
002410,-0.7203125
002450,-0.6566433566433566
002460,-0.3970149253731343
002600,-0.7372093023255814
002620,-0.8707086614173228
002630,-0.9024332624616112
002700,-0.6138790035587188
002710,-0.33436293436293435
002720,-0.6537423128843558
002760,-0.7568208778173191
002810,-0.4121252646829377
002880,-0.6647727272727273
003120,-0.5437086092715232
003160,-0.7367688022284122
003200,-0.6740157480314961
003350,-0.6632825719120136
003460,-0.46629213483146065
003480,-0.6635367762128326
003560,-0.6777408637873754
003610,-0.5669144981412639
003650,-0.5202558635394456
014130,-0.6725274725274726
014440,-0.7503586800573888
014910,-0.9064220183486239
014990,-0.7930232558139535
015020,-0.8319444444444445
015260,-0.9406930853651944
