회사명,거래소코드,회계년도,유동비율,차입금의존도,매출액증가율,유형자산증가율,총자본증가율,매출액총이익률,매출액영업이익률,매출액순이익률,총자본영업이익률,자기자본순이익률,당좌비율,부채비율,재고자산회전률,매출채권회전률,총자본회전률,매입채무회전률,현금순환주기,WCTA,RETA,TLTA,이자보상배율,vol유동비율,vol매출액증가율,vol유형자산증가율,vol총자본증가율,vol매출액총이익률,vol매출액영업이익률,vol자기자본순이익률,vol총자본영업이익률,vol당좌비율,vol부채비율,vol이자보상배율,vol재고자산회전률,vol매출채권회전률,vol총자본회전률,vol매입채무회전률,부도
삼화기연(주),33210,2003,17.16,108.79,-51.21,-31.57,-60.88,-12.72,-106.19,-680.68,-28.15,-733.6654705,13.08,-328.6512956,6.33,3.24,0.27,5.39,102.46,0.23972699557884855,-1.705381578859034,1.4373471301304417,-13.2623397926816,-317.29,5.449999999999997,-86.5,-46.93000000000001,-20.42,-55.46,-751.0954704999998,-10.41,-296.51,-363.6012956,29.14176824914104,2.26,0.9700000000000002,-0.07999999999999996,1.2999999999999998,1.0
세원텔레콤(주),36910,2003,60.83,63.47,5.7,0.2,-14.93,1.58,-6.13,-18.67,-7.73,-177.18,11.13,3129.48,3.76,18.2,1.26,5.62,52.23,0.41044776119402987,0.051256728855721384,0.9676616915422884,-1.752162606853182,-23.64,27.87,-3.85,-23.32,-8.52,-10.3,-176.67000000000004,-12.52,-16.699999999999996,2773.68,-2.929352523767062,0.1499999999999999,8.61,0.1100000000000001,-0.79,1.0
쓰리알(주),37730,2003,55.58,107.01,-55.84,-12.09,-51.91,33.99,-28.03,-375.84,-6.81,0.0,49.06,0.0,3.37,3.27,0.24,5.42,152.73000000000005,0.6437077593806851,-1.4052079559235138,1.4915616404025185,-1.066608833430872,-76.30999999999997,-54.44000000000001,29.610000000000007,-1.3899999999999937,18.840000000000003,7.3599999999999985,122.38,2.7299999999999995,-59.86,-217.54,1.4785096268741815,0.6299999999999999,0.6299999999999999,-0.030000000000000027,-1.79,1.0
알루코(주),21570,2004,58.6,56.9,0.28,-11.8,-19.18,8.85,2.33,-24.79,1.4,-50.47,42.4,313.9,5.66,7.97,0.6,5.91,48.53999999999999,0.3814326518233852,-0.034229409784970216,0.7794786758689121,0.36152342714793023,-1.3900000000000006,20.1,-3.530000000000001,-6.68,-3.530000000000001,-2.59,-53.07,-1.1,2.289999999999999,119.67,-0.2482663702408289,0.28000000000000025,1.489999999999999,0.08999999999999997,-1.1099999999999994,1.0
엔써커뮤니티(주),37750,2003,13.8,318.68,24.38,59.36,-73.8,7.77,-44.45,-229.59,-43.24,-182.57,12.79,-133.94,18.11,5.74,0.97,6.85,30.40000000000001,0.5411844020562839,-6.355342987692497,3.946098048197904,-4.16495159785042,-279.11,72.66,117.68,-50.06,3.99,-0.8599999999999994,-56.41,-24.630000000000006,-255.07,-2147.16,-0.8054886273177697,7.539999999999999,2.58,0.54,2.3199999999999994,1.0
엠바이엔(주),31970,2003,3.72,157.92,34.81,-42.0,-79.34,81.43,-239.56,-1020.56,-24.27,-133.96,1.5,-144.38,4.12,5.65,0.1,9.56,115.14,0.11249483445628007,-3.0472687245775263,3.253258503699638,-3.8665338295787,-70.03,78.78,55.88,-47.35000000000001,14.060000000000002,132.2,0.3599999999999852,-10.62,-69.94,-676.58,-2.4624663018462183,2.04,4.1000000000000005,0.06000000000000001,2.4300000000000006,1.0
오페스(주),53470,2009,142.27,29.94,24.89,21.8,21.47,30.26,-64.59,-91.69,-17.06,-63.99,142.27,98.43,0.0,1.08,0.26,2.04,158.84,0.7020630241294175,-2.284606955618143,0.4960541230602334,-2.6507262849242457,47.83000000000001,42.40000000000001,-1823.47,88.42,11.510000000000002,958.43,124.39,101.94,47.83000000000001,-244.25,51.61015148011504,-27.88,-0.26,0.14,0.22,1.0
우경(주),25920,2012,80.02,70.1,55.14,3.82,5.05,11.16,0.5,-11.7,0.46,-78.12,76.86,883.81,13.26,4.88,0.93,12.21,72.37,0.5957213798220923,-0.3624785412703568,0.8983545528271393,0.06383267794907868,-3.5700000000000074,81.28999999999998,5.869999999999999,-40.02,6.26,10.03,-14.170000000000002,7.37,11.209999999999996,422.19999999999993,0.8743251886469282,5.98,1.15,0.20000000000000007,1.7600000000000016,1.0
우수씨엔에스(주),60550,2008,18.2,97.55,-39.7,-14.06,-26.52,7.81,-8.74,-152.36,-11.85,0.0,17.89,0.0,15.0,12.06,1.36,22.49,38.36,0.4083984445493621,-3.1403017800864856,2.2480439508789263,-1.6394578728466511,-54.75999999999999,-33.85,-12.43,4.77,-8.280000000000001,-9.69,147.1,-13.37,-33.55,-762.67,-2.0530208609026968,-0.08000000000000007,-3.9999999999999982,-0.23,-7.220000000000002,1.0
제넥셀세인(주),34660,2009,85.97,47.12,-33.04,-9.57,-52.23,44.11,-91.0,-1979.28,-7.47,-246.27,66.59,220.9,1.92,3.2,0.08,3.41,197.25,0.5781224768622095,-4.676085480505192,0.6883730381483366,-3.2506946809583597,-7.480000000000004,3.4399999999999977,-106.34,5.290000000000006,28.01,-4.280000000000001,-170.02,-2.79,-26.25999999999999,199.85,-0.8363421951607926,-39.56,0.21,0.03,-5.44,1.0
