Date,Close,Open,High,Low,Volume,Change
1987-09-26,482.1,482.1,482.1,482.1,2920000.0,-0.0025
1987-09-28,477.34,477.34,477.34,477.34,5700000.0,-0.009899999999999999
1987-09-29,478.75,478.75,478.75,478.75,4670000.0,0.003
1987-09-30,485.35,485.35,485.35,485.35,4830000.0,0.0138
1987-10-02,491.6,491.6,491.6,491.6,5280000.0,0.0129
1987-10-05,497.53,497.53,497.53,497.53,4710000.0,0.0121
1987-10-06,509.83,509.83,509.83,509.83,6390000.0,0.024700000000000003
1987-10-10,509.21,509.21,509.21,509.21,2480000.0,-0.0012
1987-10-12,515.25,515.25,515.25,515.25,5600000.0,0.011899999999999999
1987-10-13,512.59,512.59,512.59,512.59,4930000.0,-0.0052
1987-10-14,513.46,513.46,513.46,513.46,5500000.0,0.0017000000000000001
1987-10-15,509.59,509.59,509.59,509.59,4400000.0,-0.0075
1987-10-16,514.1,514.1,514.1,514.1,4670000.0,0.0089
1987-10-17,513.77,513.77,513.77,513.77,2690000.0,-0.0006
1987-10-19,516.61,516.61,516.61,516.61,4179999.9999999995,0.0055000000000000005
1987-10-20,504.38,504.38,504.38,504.38,6900000.0,-0.023700000000000002
1987-10-21,506.27,506.27,506.27,506.27,4830000.0,0.0037
1987-10-22,512.54,512.54,512.54,512.54,4720000.0,0.0124
1987-10-23,515.52,515.52,515.52,515.52,5840000.0,0.0058
1987-10-24,516.15,516.15,516.15,516.15,4460000.0,0.0012
1987-10-26,517.15,517.15,517.15,517.15,6420000.0,0.0019
1987-10-28,506.11,506.11,506.11,506.11,4660000.0,-0.0213
1987-10-29,502.37,502.37,502.37,502.37,5130000.0,-0.0074
1987-10-30,504.96,504.96,504.96,504.96,4530000.0,0.0052
1987-10-31,509.05,509.05,509.05,509.05,2630000.0,0.008100000000000001
1987-11-02,510.28,510.28,510.28,510.28,3420000.0,0.0024
1987-11-03,510.28,510.28,510.28,510.28,4220000.0,0.0
1987-11-04,502.47,502.47,502.47,502.47,3040000.0,-0.015300000000000001
1987-11-05,496.7,496.7,496.7,496.7,3400000.0,-0.0115
1987-11-06,482.77,482.77,482.77,482.77,2930000.0,-0.027999999999999997
1987-11-07,482.33,482.33,482.33,482.33,2420000.0,-0.0009
1987-11-09,498.26,498.26,498.26,498.26,6140000.0,0.033
1987-11-10,490.03,490.03,490.03,490.03,3730000.0,-0.0165
1987-11-11,484.24,484.24,484.24,484.24,3840000.0,-0.0118
1987-11-12,472.59,472.59,472.59,472.59,4059999.9999999995,-0.0241
1987-11-13,462.09,462.09,462.09,462.09,4059999.9999999995,-0.0222
1987-11-14,466.16,466.16,466.16,466.16,2520000.0,0.0088
1987-11-16,456.86,456.86,456.86,456.86,2800000.0,-0.02
1987-11-17,456.55,456.55,456.55,456.55,4670000.0,-0.0007000000000000001
1987-11-18,474.78,474.78,474.78,474.78,3550000.0,0.039900000000000005
1987-11-19,482.08,482.08,482.08,482.08,7380000.0,0.0154
1987-11-20,473.09,473.09,473.09,473.09,6490000.0,-0.018600000000000002
1987-11-21,473.89,473.89,473.89,473.89,4210000.0,0.0017000000000000001
1987-11-23,474.89,474.89,474.89,474.89,5100000.0,0.0021
1987-11-24,465.73,465.73,465.73,465.73,5570000.0,-0.019299999999999998
1987-11-25,466.09,466.09,466.09,466.09,5930000.0,0.0008
1987-11-26,455.77,455.77,455.77,455.77,6010000.0,-0.022099999999999998
1987-11-27,456.68,456.68,456.68,456.68,6720000.0,0.002
1987-11-28,468.05,468.05,468.05,468.05,3730000.0,0.024900000000000002
1987-11-30,475.59,475.59,475.59,475.59,6030000.0,0.0161
1987-12-01,490.45,490.45,490.45,490.45,7340000.0,0.031200000000000002
1987-12-02,494.64,494.64,494.64,494.64,9510000.0,0.0085
1987-12-03,489.12,489.12,489.12,489.12,6990000.0,-0.011200000000000002
1987-12-04,481.81,481.81,481.81,481.81,7540000.0,-0.0149
1987-12-05,483.2,483.2,483.2,483.2,4920000.0,0.0029
